Region,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-15,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-01,2020-08-08,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12
Arica y Parinacota,61.9,57.14,57.14,57.14,66.67,57.14,66.67,59.26,77.78,77.78,74.07,88.89,90.0,72.22,57.5,78.79,90.91,93.94,72.73,78.79,45.45,60.61,45.45,70.0,73.33,83.33,76.67,60.0,66.67,74.07,85.19,82.61,77.78,81.48,77.78,70.37,77.78,81.48,81.48,74.07,81.48,88.89,82.76,86.67
Tarapacá,33.33,54.55,66.67,71.43,95.65,72.41,88.24,100.0,82.0,75.51,92.86,78.57,72.09,82.93,64.29,66.67,64.86,72.97,70.27,78.38,58.33,61.11,52.78,44.44,47.22,76.0,62.5,83.33,75.0,70.83,75.0,70.83,66.67,83.33,79.17,83.33,91.67,90.32,91.18,95.65,96.0,92.98,90.91,91.23
Antofagasta,66.18,82.67,80.0,84.42,85.58,90.0,88.24,78.29,82.01,91.78,93.75,95.95,88.82,93.38,86.75,90.21,87.77,80.14,79.29,77.37,81.48,85.27,83.72,83.59,75.97,86.82,93.22,84.07,76.11,86.11,78.5,84.69,85.71,94.9,84.85,91.84,83.84,94.9,93.88,93.14,98.23,96.77,89.39,97.62
Atacama,45.45,45.45,66.67,34.78,41.67,42.86,38.1,31.82,58.33,58.33,48.28,57.14,50.0,70.83,70.83,57.69,57.69,80.77,82.61,56.52,52.17,66.67,58.33,83.33,47.83,56.52,63.16,60.0,42.86,63.16,47.37,63.16,78.95,57.14,36.36,40.91,63.16,42.86,63.16,42.86,63.16,63.64,84.0,66.67
Coquimbo,60.0,55.1,55.1,50.98,74.47,66.07,82.14,82.46,82.46,89.83,79.03,84.21,79.49,90.41,81.48,87.65,83.95,75.29,75.29,74.12,82.35,85.88,81.18,71.43,79.73,88.24,88.89,76.19,88.68,88.68,83.93,96.43,83.93,94.64,89.29,83.93,94.64,85.71,91.07,77.42,83.82,86.76,92.41,94.12
Valparaíso,63.92,60.9,62.91,67.55,69.08,77.3,84.53,83.16,83.09,81.99,82.41,85.59,83.67,83.2,79.92,78.99,80.43,82.67,86.76,87.95,88.24,87.39,86.51,84.11,80.75,80.84,76.39,80.86,77.99,82.61,85.58,87.44,87.5,89.06,90.53,83.16,87.89,88.95,92.09,90.64,92.19,90.29,93.78,91.67
Metropolitana,65.07,64.08,63.15,75.43,76.13,93.97,95.97,97.65,92.33,96.51,97.03,94.45,91.83,91.49,87.99,86.49,84.73,87.04,82.12,82.52,84.04,83.76,85.14,84.09,84.98,86.41,89.12,88.15,89.41,91.97,90.0,91.28,89.75,89.68,88.68,90.27,90.76,87.83,92.77,94.09,93.25,94.32,93.89,93.49
O’Higgins,63.93,62.5,61.54,67.19,82.09,85.19,84.44,91.58,93.27,85.95,90.4,90.23,80.74,74.65,74.65,73.24,72.18,76.92,78.38,71.17,84.11,85.32,84.55,89.57,90.18,79.46,89.38,80.39,82.11,82.8,84.95,81.32,86.81,72.62,75.31,73.81,64.29,69.05,84.34,93.1,94.79,95.1,94.87,87.18
Maule,54.0,64.0,53.45,51.72,58.62,72.88,82.54,75.64,94.87,86.36,80.21,76.36,74.78,76.11,87.61,69.64,72.57,67.26,72.57,67.26,72.57,81.74,78.95,82.91,60.66,66.07,66.07,64.29,68.42,66.07,62.5,63.39,70.8,81.25,80.25,84.42,79.52,81.71,85.87,89.47,87.07,86.44,88.43,86.67
Ñuble,59.26,40.74,37.04,48.15,50.0,77.78,56.67,63.33,60.0,71.88,73.08,73.08,65.38,59.62,67.31,50.0,53.85,73.08,73.08,75.0,65.38,72.0,80.0,79.63,74.07,68.52,78.0,82.35,59.62,46.43,64.29,71.43,75.0,89.29,72.73,69.09,76.36,65.45,80.7,94.34,92.73,95.08,98.36,86.89
