nombre,codigo,positividad
Arica,15101,5.2
Camarones,15102,0.0
General Lagos,15202,0.0
Putre,15201,0.8
Alto Hospicio,1107,5.6
Camina,1402,19.0
Colchane,1403,0.0
Huara,1404,4.0
Iquique,1101,5.0
Pica,1405,6.4
Pozo Almonte,1401,6.2
Antofagasta,2101,5.8
Calama,2201,8.1
Maria Elena,2302,10.4
Mejillones,2102,10.4
Ollague,2202,0.0
San Pedro de Atacama,2203,3.9
Sierra Gorda,2103,10.0
Taltal,2104,11.1
Tocopilla,2301,9.5
Alto del Carmen,3302,26.0
Caldera,3102,10.2
Chanaral,3201,4.4
Copiapo,3101,8.0
Diego de Almagro,3202,23.2
Freirina,3303,6.0
Huasco,3304,9.4
Tierra Amarilla,3103,14.7
Vallenar,3301,7.8
Andacollo,4103,1.7
Canela,4202,10.3
Combarbala,4302,9.3
Coquimbo,4102,10.8
Illapel,4201,9.1
La Higuera,4104,8.1
La Serena,4101,8.2
Los Vilos,4203,11.6
Monte Patria,4303,7.6
Ovalle,4301,9.6
Paiguano,4105,1.0
Punitaqui,4304,19.5
Rio Hurtado,4305,9.5
Salamanca,4204,14.5
Vicuna,4106,3.5
Algarrobo,5602,13.2
Cabildo,5402,10.8
Calera,5502,7.4
Calle Larga,5302,9.9
Cartagena,5603,13.9
Casablanca,5102,14.3
Catemu,5702,3.7
Concon,5103,8.4
El Quisco,5604,16.5
El Tabo,5605,12.0
Hijuelas,5503,5.2
Isla de Pascua,5201,0.0
Juan Fernandez,5104,0.0
La Cruz,5504,9.1
La Ligua,5401,11.3
Limache,5802,12.5
Llaillay,5703,14.6
Los Andes,5301,11.6
Nogales,5506,9.8
Olmue,5803,15.9
Panquehue,5704,11.3
Papudo,5403,3.8
Petorca,5404,7.6
Puchuncavi,5105,19.8
Putaendo,5705,7.0
Quillota,5501,8.5
Quilpue,5801,11.2
Quintero,5107,13.9
Rinconada,5303,10.5
San Antonio,5601,19.8
San Esteban,5304,13.1
San Felipe,5701,10.5
Santa Maria,5706,16.4
Santo Domingo,5606,12.7
Valparaiso,5101,12.6
Villa Alemana,5804,11.2
Vina del Mar,5109,10.5
Zapallar,5405,15.2
Alhue,13502,10.0
Buin,13402,12.2
Calera de Tango,13403,11.3
Cerrillos,13102,15.2
Cerro Navia,13103,18.1
Colina,13301,13.2
Conchali,13104,18.7
Curacavi,13503,13.6
El Bosque,13105,19.9
El Monte,13602,18.8
Estacion Central,13106,17.2
Huechuraba,13107,14.0
Independencia,13108,15.2
Isla de Maipo,13603,8.3
La Cisterna,13109,20.1
La Florida,13110,23.3
La Granja,13111,23.3
La Pintana,13112,26.5
La Reina,13113,7.8
Lampa,13302,17.7
Las Condes,13114,11.0
Lo Barnechea,13115,12.0
Lo Espejo,13116,18.4
Lo Prado,13117,20.9
Macul,13118,14.8
Maipu,13119,12.3
Maria Pinto,13504,3.1
Melipilla,13501,14.1
Nunoa,13120,11.2
Padre Hurtado,13604,17.2
Paine,13404,12.8
Pedro Aguirre Cerda,13121,22.2
Penaflor,13605,16.2
Penalolen,13122,21.4
Pirque,13202,18.0
Providencia,13123,11.5
Pudahuel,13124,18.6
Puente Alto,13201,22.1
Quilicura,13125,18.3
Quinta Normal,13126,16.5
Recoleta,13127,17.0
Renca,13128,21.9
San Bernardo,13401,23.5
San Joaquin,13129,18.8
San Jose de Maipo,13203,21.2
San Miguel,13130,14.9
San Pedro,13505,21.9
San Ramon,13131,25.8
Santiago,13101,18.5
Talagante,13601,14.6
Tiltil,13303,16.4
Vitacura,13132,10.5
Chepica,6302,17.4
Chimbarongo,6303,9.8
Codegua,6102,10.4
Coinco,6103,23.2
Coltauco,6104,21.6
Donihue,6105,14.9
Graneros,6106,13.3
La Estrella,6202,4.0
Las Cabras,6107,11.3
Litueche,6203,11.2
Lolol,6304,13.7
Machali,6108,10.8
Malloa,6109,19.6
Marchihue,6204,13.3
Mostazal,6110,19.8
Nancagua,6305,14.1
Navidad,6205,21.0
Olivar,6111,14.1
Palmilla,6306,21.2
Paredones,6206,11.6
Peralillo,6307,9.1
Peumo,6112,18.6
Pichidegua,6113,7.9
Pichilemu,6201,7.8
Placilla,6308,8.1
Pumanque,6309,15.8
Quinta de Tilcoco,6114,7.5
Rancagua,6101,13.9
Rengo,6115,10.3
Requinoa,6116,12.2
San Fernando,6301,8.3
San Vicente,6117,7.6
Santa Cruz,6310,5.7
Cauquenes,7201,5.2
Chanco,7202,13.4
Colbun,7402,11.4
Constitucion,7102,9.1
Curepto,7103,12.0
Curico,7301,7.4
Empedrado,7104,5.6
Hualane,7302,16.1
Licanten,7303,13.6
Linares,7401,11.0
Longavi,7403,14.3
Maule,7105,12.3
Molina,7304,6.8
Parral,7404,13.6
Pelarco,7106,18.8
Pelluhue,7203,9.8
Pencahue,7107,20.9
Rauco,7305,18.2
Retiro,7405,16.0
Rio Claro,7108,12.5
Romeral,7306,14.4
Sagrada Familia,7307,15.2
San Clemente,7109,13.1
San Javier,7406,11.6
San Rafael,7110,24.3
Talca,7101,8.8
Teno,7308,12.7
Vichuquen,7309,19.0
Villa Alegre,7407,14.5
Yerbas Buenas,7408,12.6
Bulnes,16102,9.0
Chillan,16101,7.3
Chillan Viejo,16103,9.8
Cobquecura,16202,2.3
Coelemu,16203,7.9
Coihueco,16302,17.9
El Carmen,16104,6.1
Ninhue,16204,13.6
Niquen,16303,13.7
Pemuco,16105,18.4
Pinto,16106,11.4
Portezuelo,16205,13.4
Quillon,16107,7.7
Quirihue,16201,3.4
Ranquil,16206,22.1
San Carlos,16301,12.4
San Fabian,16304,1.7
San Ignacio,16108,12.0
San Nicolas,16305,15.7
Treguaco,16207,22.4
Yungay,16109,7.7
Alto Biobio,8314,34.1
Antuco,8302,9.6
Arauco,8202,9.1
Cabrero,8303,12.4
Canete,8203,20.1
Chiguayante,8103,8.4
Concepcion,8101,8.3
Contulmo,8204,6.5
Coronel,8102,9.6
Curanilahue,8205,11.4
Florida,8104,14.6
Hualpen,8112,8.9
Hualqui,8105,10.7
Laja,8304,13.4
Lebu,8201,19.9
Los Alamos,8206,16.8
Los Angeles,8301,13.9
Lota,8106,10.3
Mulchen,8305,25.0
Nacimiento,8306,10.9
Negrete,8307,13.8
Penco,8107,10.5
Quilaco,8308,9.6
Quilleco,8309,18.5
San Pedro de la Paz,8108,10.8
San Rosendo,8310,5.1
Santa Barbara,8311,19.2
Santa Juana,8109,28.6
Talcahuano,8110,6.1
Tirua,8207,23.2
Tome,8111,7.5
Tucapel,8312,6.2
Yumbel,8313,15.0
Angol,9201,18.3
Carahue,9102,15.6
Cholchol,9121,20.7
Collipulli,9202,13.1
Cunco,9103,8.8
Curacautin,9203,10.4
Curarrehue,9104,29.9
Ercilla,9204,19.1
Freire,9105,19.8
Galvarino,9106,29.3
Gorbea,9107,12.2
Lautaro,9108,16.0
Loncoche,9109,19.1
Lonquimay,9205,8.2
Los Sauces,9206,10.7
Lumaco,9207,7.8
Melipeuco,9110,23.5
Nueva Imperial,9111,24.8
Padre Las Casas,9112,15.4
Perquenco,9113,16.1
Pitrufquen,9114,14.7
Pucon,9115,18.1
Puren,9208,21.6
Renaico,9209,15.6
Saavedra,9116,30.8
Temuco,9101,8.7
Teodoro Schmidt,9117,21.3
Tolten,9118,15.5
Traiguen,9210,22.2
Victoria,9211,15.0
Vilcun,9119,20.2
Villarrica,9120,14.8
Corral,14102,21.3
Futrono,14202,22.0
La Union,14201,14.7
Lago Ranco,14203,30.3
Lanco,14103,31.0
Los Lagos,14104,29.7
Mafil,14105,17.4
Mariquina,14106,21.1
Paillaco,14107,24.9
Panguipulli,14108,17.0
Rio Bueno,14204,23.5
Valdivia,14101,12.1
Ancud,10202,18.1
Calbuco,10102,9.2
Castro,10201,16.5
Chaiten,10401,0.0
Chonchi,10203,14.0
Cochamo,10103,4.2
Curaco de Velez,10204,20.7
Dalcahue,10205,22.6
Fresia,10104,16.4
Frutillar,10105,12.0
Futaleufu,10402,0.0
Hualaihue,10403,6.1
Llanquihue,10107,11.5
Los Muermos,10106,9.1
Maullin,10108,8.9
Osorno,10301,15.3
Palena,10404,4.8
Puerto Montt,10101,6.3
Puerto Octay,10302,13.2
Puerto Varas,10109,7.0
Puqueldon,10206,12.2
Purranque,10303,17.0
Puyehue,10304,24.9
Queilen,10207,5.6
Quellon,10208,7.9
Quemchi,10209,21.7
Quinchao,10210,12.6
Rio Negro,10305,9.9
San Juan de la Costa,10306,22.5
San Pablo,10307,18.8
Aysen,11201,9.5
Chile Chico,11401,5.8
Cisnes,11202,5.6
Cochrane,11301,4.4
Coyhaique,11101,13.1
Guaitecas,11203,0.0
Lago Verde,11102,22.7
OHiggins,11302,0.0
Rio Ibanez,11402,7.6
Tortel,11303,0.0
Antartica,12202,
Cabo de Hornos,12201,0.0
Laguna Blanca,12102,
Natales,12401,13.7
Porvenir,12301,5.5
Primavera,12302,0.0
Punta Arenas,12101,5.4
Rio Verde,12103,0.0
San Gregorio,12104,0.0
Timaukel,12303,0.0
Torres del Paine,12402,0.0
