codigo,nombre,paso_a_paso
15101,Arica,1
15102,Camarones,3
15202,General Lagos,3
15201,Putre,3
1107,Alto Hospicio,2
1402,Camiña,2
1403,Colchane,4
1404,Huara,3
1101,Iquique,2
1405,Pica,2
1401,Pozo Almonte,3
2101,Antofagasta,3
2201,Calama,2
2302,María Elena,2
2102,Mejillones,3
2202,Ollagüe,4
2203,San Pedro de Atacama,3
2103,Sierra Gorda,2
2104,Taltal,3
2301,Tocopilla,2
3302,Alto del Carmen,3
3102,Caldera,3
3201,Chañaral,2
3101,Copiapó,2
3202,Diego de Almagro,2
3303,Freirina,2
3304,Huasco,3
3103,Tierra Amarilla,2
3301,Vallenar,2
4103,Andacollo,3
4202,Canela,3
4302,Combarbalá,2
4102,Coquimbo,2
4201,Illapel,3
4104,La Higuera,2
4101,La Serena,2
4203,Los Vilos,1
4303,Monte Patria,3
4301,Ovalle,3
4105,Paiguano,3
4304,Punitaqui,3
4305,Río Hurtado,3
4204,Salamanca,2
4106,Vicuña,3
5602,Algarrobo,2
5402,Cabildo,3
5502,Calera,2
5302,Calle Larga,2
5603,Cartagena,1
5102,Casablanca,2
5702,Catemu,3
5103,Concón,3
5604,El Quisco,2
5605,El Tabo,2
5503,Hijuelas,1
5201,Isla de Pascua,4
5104,Juan Fernández,4
5504,La Cruz,2
5401,La Ligua,2
5802,Limache,2
5703,Llaillay,3
5301,Los Andes,2
5506,Nogales,2
5803,Olmué,2
5704,Panquehue,2
5403,Papudo,3
5404,Petorca,3
5105,Puchuncaví,2
5705,Putaendo,3
5501,Quillota,2
5801,Quilpué,2
5107,Quintero,2
5303,Rinconada,2
5601,San Antonio,2
5304,San Esteban,3
5701,San Felipe,2
5706,Santa Maria,1
5606,Santo Domingo,2
5101,Valparaiso,2
5804,Villa Alemana,2
5109,Viña del Mar,2
5405,Zapallar,3
13502,Alhué,3
13402,Buin,2
13403,Calera de Tango,1
13102,Cerrillos,2
13103,Cerro Navia,1
13301,Colina,2
13104,Conchalí,1
13503,Curacaví,2
13105,El Bosque,1
13602,El Monte,1
13106,Estación Central,1
13107,Huechuraba,2
13108,Independencia,2
13603,Isla de Maipo,2
13109,La Cisterna,1
13110,La Florida,1
13111,La Granja,1
13112,La Pintana,1
13113,La Reina,2
13302,Lampa,1
13114,Las Condes,2
13115,Lo Barnechea,2
13116,Lo Espejo,1
13117,Lo Prado,1
13118,Macul,2
13119,Maipú,2
13504,Maria Pinto,2
13501,Melipilla,2
13120,Ñuñoa,2
13604,Padre Hurtado,1
13404,Paine,1
13121,Pedro Aguirre Cerda,1
13605,Peñaflor,1
13122,Peñalolén,1
13202,Pirque,1
13123,Providencia,2
13124,Pudahuel,1
13201,Puente Alto,1
13125,Quilicura,2
13126,Quinta Normal,1
13127,Recoleta,2
13128,Renca,1
13401,San Bernardo,1
13129,San Joaquín,1
13203,San José de Maipo,1
13130,San Miguel,1
13505,San Pedro,1
13131,San Ramón,1
13101,Santiago,2
13601,Talagante,2
13303,Tiltil,2
13132,Vitacura,2
6302,Chépica,2
6303,Chimbarongo,3
6102,Codegua,2
6103,Coinco,2
6104,Coltauco,3
6105,Doñihue,2
6106,Graneros,2
6202,La Estrella,3
6107,Las Cabras,1
6203,Litueche,2
6304,Lolol,3
6108,Machalí,2
6109,Malloa,2
6204,Marchihue,2
6110,Mostazal,1
6305,Nancagua,2
6205,Navidad,2
6111,Olivar,2
6306,Palmilla,2
6206,Paredones,2
6307,Peralillo,1
6112,Peumo,2
6113,Pichidegua,3
6201,Pichilemu,3
6308,Placilla,2
6309,Pumanque,1
6114,Quinta de Tilcoco,2
6101,Rancagua,2
6115,Rengo,2
6116,Requínoa,1
6301,San Fernando,2
6117,San Vicente,2
6310,Santa Cruz,3
7201,Cauquenes,2
7202,Chanco,3
7402,Colbún,2
7102,Constitución,1
7103,Curepto,2
7301,Curicó,2
7104,Empedrado,2
7302,Hualañé,1
7303,Licantén,1
7401,Linares,2
7403,Longaví,1
7105,Maule,1
7304,Molina,2
7404,Parral,1
7106,Pelarco,2
7203,Pelluhue,3
7107,Pencahue,2
7305,Rauco,2
7405,Retiro,2
7108,Río Claro,1
7306,Romeral,1
7307,Sagrada Familia,1
7109,San Clemente,2
7406,San Javier,2
7110,San Rafael,1
7101,Talca,2
7308,Teno,1
7309,Vichuquén,3
7407,Villa Alegre,2
7408,Yerbas Buenas,1
16102,Bulnes,2
16101,Chillán,2
16103,Chillán Viejo,2
16202,Cobquecura,3
16203,Coelemu,2
16302,Coihueco,2
16104,El Carmen,3
16204,Ninhue,3
16303,Ñiquén,1
16105,Pemuco,1
16106,Pinto,2
16205,Portezuelo,3
16107,Quillón,3
16201,Quirihue,2
16206,Ránquil,3
16301,San Carlos,1
16304,San Fabián,3
16108,San Ignacio,1
16305,San Nicolás,1
16207,Treguaco,2
16109,Yungay,2
8314,Alto Biobío,1
8302,Antuco,2
8202,Arauco,2
8303,Cabrero,2
8203,Cañete,2
8103,Chiguayante,2
8101,Concepción,2
8204,Contulmo,1
8102,Coronel,2
8205,Curanilahue,2
8104,Florida,3
8112,Hualpén,2
8105,Hualqui,2
8304,Laja,1
8201,Lebu,2
8206,Los Álamos,1
8301,Los Ángeles,2
8106,Lota,2
8305,Mulchén,1
8306,Nacimiento,1
8307,Negrete,1
8107,Penco,2
8308,Quilaco,1
8309,Quilleco,1
8108,San Pedro de la Paz,2
8310,San Rosendo,2
8311,Santa Bárbara,1
8109,Santa Juana,1
8110,Talcahuano,2
8207,Tirúa,1
8111,Tomé,2
8312,Tucapel,3
8313,Yumbel,1
9201,Angol,1
9102,Carahue,2
9121,Cholchol,2
9202,Collipulli,2
9103,Cunco,3
9203,Curacautín,2
9104,Curarrehue,1
9204,Ercilla,1
9105,Freire,2
9106,Galvarino,1
9107,Gorbea,2
9108,Lautaro,1
9109,Loncoche,2
9205,Lonquimay,2
9206,Los Sauces,1
9207,Lumaco,2
9110,Melipeuco,3
9111,Nueva Imperial,1
9112,Padre Las Casas,2
9113,Perquenco,1
9114,Pitrufquén,2
9115,Pucón,2
9208,Purén,1
9209,Renaico,1
9116,Saavedra,2
9101,Temuco,2
9117,Teodoro Schmidt,3
9118,Toltén,1
9210,Traiguén,1
9211,Victoria,1
9119,Vilcún,2
9120,Villarrica,2
14102,Corral,1
14202,Futrono,1
14201,La Unión,2
14203,Lago Ranco,1
14103,Lanco,2
14104,Los Lagos,1
14105,Máfil,1
14106,Mariquina,2
14107,Paillaco,1
14108,Panguipulli,2
14204,Río Bueno,2
14101,Valdivia,2
10202,Ancud,1
10102,Calbuco,3
10201,Castro,1
10401,Chaitén,4
10203,Chonchi,1
10103,Cochamó,3
10204,Curaco de Vélez,2
10205,Dalcahue,1
10104,Fresia,1
10105,Frutillar,2
10402,Futaleufú,4
10403,Hualaihué,2
10107,Llanquihue,1
10106,Los Muermos,3
10108,Maullín,3
10301,Osorno,2
10404,Palena,4
10101,Puerto Montt,2
10302,Puerto Octay,2
10109,Puerto Varas,2
10206,Puqueldón,2
10303,Purranque,2
10304,Puyehue,2
10207,Queilén,2
10208,Quellón,3
10209,Quemchi,2
10210,Quinchao,1
10305,Río Negro,2
10306,San Juan de la Costa,2
10307,San Pablo,2
11201,Aisén,1
11401,Chile Chico,4
11202,Cisnes,1
11301,Cochrane,4
11101,Coyhaique,1
11203,Guaitecas,4
11102,Lago Verde,3
11302,O'Higgins,4
11402,Río Ibáñez,4
11303,Tortel,4
12202,Antártica,3
12201,Cabo de Hornos,4
12102,Laguna Blanca,3
12401,Natales,1
12301,Porvenir,1
12302,Primavera,4
12101,Punta Arenas,1
12103,Río Verde,4
12104,San Gregorio,4
12303,Timaukel,4
12402,Torres del Paine,4
