nombre,codigo,casos_totales
Arica,15101,78479
Camarones,15102,198
General Lagos,15202,115
Putre,15201,540
Alto Hospicio,1107,32318
Camina,1402,363
Colchane,1403,1055
Huara,1404,776
Iquique,1101,70889
Pica,1405,2562
Pozo Almonte,1401,5316
Antofagasta,2101,108167
Calama,2201,49116
Maria Elena,2302,1448
Mejillones,2102,4086
Ollague,2202,233
San Pedro de Atacama,2203,3050
Sierra Gorda,2103,468
Taltal,2104,3238
Tocopilla,2301,6210
Alto del Carmen,3302,1082
Caldera,3102,7756
Chanaral,3201,3521
Copiapo,3101,60864
Diego de Almagro,3202,5880
Freirina,3303,2796
Huasco,3304,3266
Tierra Amarilla,3103,5108
Vallenar,3301,17280
Andacollo,4103,2861
Canela,4202,1583
Combarbala,4302,3061
Coquimbo,4102,62733
Illapel,4201,9042
La Higuera,4104,1082
La Serena,4101,64927
Los Vilos,4203,5532
Monte Patria,4303,6392
Ovalle,4301,30653
Paiguano,4105,1525
Punitaqui,4304,2785
Rio Hurtado,4305,908
Salamanca,4204,7155
Vicuna,4106,6423
Algarrobo,5602,5169
Cabildo,5402,4187
Calera,5502,12007
Calle Larga,5302,4894
Cartagena,5603,7022
Casablanca,5102,7776
Catemu,5702,4214
Concon,5103,12864
El Quisco,5604,5772
El Tabo,5605,5279
Hijuelas,5503,3899
Isla de Pascua,5201,1715
Juan Fernandez,5104,301
La Cruz,5504,5968
La Ligua,5401,9037
Limache,5802,11919
Llaillay,5703,7226
Los Andes,5301,23094
Nogales,5506,4478
Olmue,5803,4831
Panquehue,5704,2241
Papudo,5403,1821
Petorca,5404,2963
Puchuncavi,5105,5744
Putaendo,5705,5239
Quillota,5501,26387
Quilpue,5801,41465
Quintero,5107,9228
Rinconada,5303,3841
San Antonio,5601,25734
San Esteban,5304,7451
San Felipe,5701,22942
Santa Maria,5706,4685
Valparaiso,5101,86858
Villa Alemana,5804,32792
Vina del Mar,5109,95140
Zapallar,5405,3026
Alhue,13502,2642
Buin,13402,28004
Calera de Tango,13403,6633
Cerrillos,13102,20155
Cerro Navia,13103,33142
Colina,13301,40732
Conchali,13104,30839
Curacavi,13503,10548
El Bosque,13105,42243
El Monte,13602,9296
Estacion Central,13106,39884
Huechuraba,13107,27053
Independencia,13108,29075
Isla de Maipo,13603,10980
La Cisterna,13109,23891
La Florida,13110,104619
La Granja,13111,30272
La Pintana,13112,40192
La Reina,13113,26623
Lampa,13302,25356
Las Condes,13114,82640
Lo Barnechea,13115,28932
Lo Espejo,13116,22004
Lo Prado,13117,26560
Macul,13118,34583
Maipu,13119,126477
Maria Pinto,13504,4391
Melipilla,13501,29302
Nunoa,13120,65283
Padre Hurtado,13604,19689
Paine,13404,18497
Pedro Aguirre Cerda,13121,27001
Penaflor,13605,24920
Penalolen,13122,75527
Pirque,13202,8484
Providencia,13123,44011
Pudahuel,13124,61524
Puente Alto,13201,160010
Quilicura,13125,51696
Quinta Normal,13126,35299
Recoleta,13127,38891
Renca,13128,43054
San Bernardo,13401,73932
San Joaquin,13129,27114
San Jose de Maipo,13203,4733
San Miguel,13130,42355
San Pedro,13505,2457
San Ramon,13131,19808
Santiago,13101,136339
Talagante,13601,17801
Tiltil,13303,4974
Vitacura,13132,21303
Chepica,6302,3175
Chimbarongo,6303,6016
Codegua,6102,2964
Coinco,6103,1527
Coltauco,6104,3719
Donihue,6105,4708
Graneros,6106,7580
La Estrella,6202,739
Las Cabras,6107,6033
Litueche,6203,1956
Lolol,6304,1251
Machali,6108,15026
Malloa,6109,2583
Marchihue,6204,1383
Mostazal,6110,6038
Nancagua,6305,3848
Navidad,6205,1767
Olivar,6111,3332
Palmilla,6306,2790
Paredones,6206,1362
Peralillo,6307,2618
Peumo,6112,3281
Pichidegua,6113,3442
Pichilemu,6201,3980
Placilla,6308,2316
Pumanque,6309,849
Quinta de Tilcoco,6114,2164
Rancagua,6101,71240
Rengo,6115,14132
Requinoa,6116,6560
San Fernando,6301,17073
San Vicente,6117,11204
Santa Cruz,6310,10833
Cauquenes,7201,12732
Chanco,7202,1739
Colbun,7402,8060
Constitucion,7102,13139
Curepto,7103,2380
Curico,7301,49297
Empedrado,7104,1358
Hualane,7302,2786
Licanten,7303,1876
Linares,7401,31152
Longavi,7403,9075
Maule,7105,16492
Molina,7304,14634
Parral,7404,13590
Pelarco,7106,3367
Pelluhue,7203,2517
Pencahue,7107,2631
Rauco,7305,3373
Retiro,7405,6006
Rio Claro,7108,4276
Romeral,7306,5193
Sagrada Familia,7307,5249
San Clemente,7109,12912
San Javier,7406,15499
San Rafael,7110,3783
Talca,7101,79204
Teno,7308,8094
Vichuquen,7309,859
Villa Alegre,7407,5180
Yerbas Buenas,7408,5117
Bulnes,16102,6848
Chillan,16101,71197
Chillan Viejo,16103,8435
Cobquecura,16202,1111
Coelemu,16203,4150
Coihueco,16302,6762
El Carmen,16104,3356
